name,countryName,countryCode3,LAT,LON,continentName,birthyear,gender,industry,domain,L_star,HPI,AverageViews
Ferenc Szálasi,Slovakia,SVK,48.716667,21.25,Europe,1897,Male,GOVERNMENT,INSTITUTIONS,8.312111035,23.62308082,28902.03846
Daniil Kharms,Russia,RUS,59.95,30.3,Europe,1905,Male,LANGUAGE,HUMANITIES,10.182686,23.01893084,14385.16667
Godfrey Hounsfield,UNITED KINGDOM,GBR,53.0765,-0.81,Europe,1919,Male,ENGINEERING,SCIENCE & TECHNOLOGY,10.38402339,22.72847087,11102.84375
Martin Schongauer,France,FRA,48.0817,7.3556,Europe,1448,Male,FINE ARTS,ARTS,8.352861597,23.99343733,14949.19231
Eva Longoria,United States,USA,27.742778,-97.401944,North America,1975,Female,FILM AND THEATRE,ARTS,5.478971641,19.84912085,259512.8462
Yelena Isinbayeva,Russia,RUS,48.7,44.516667,Europe,1982,Female,INDIVIDUAL SPORTS,SPORTS,10.15513724,17.07061589,68242.41667
Sanjay Dutt,India,IND,18.975,72.825833,Asia,1959,Male,FILM AND THEATRE,ARTS,1.341768518,17.27315698,199101.0323
Konstantin Rokossovsky,Poland,POL,52.2333,21.0167,Europe,1896,Male,MILITARY,INSTITUTIONS,8.37228847,24.4069754,26269.21429
Genevieve,FRANCE,FRA,48.8988,2.1969,Europe,419,Female,RELIGION,INSTITUTIONS,3.7469568620000002,24.43223282,45733.88889
Rhys Ifans,UNITED KINGDOM,GBR,51.8,-4.97,Europe,1967,Male,FILM AND THEATRE,ARTS,3.307654051,18.60870312,206312.4815
Ryan Gosling,CANADA,CAN,42.9837,-81.2497,North America,1980,Male,FILM AND THEATRE,ARTS,4.810677202,18.97671656,839408.8649
Albert Sabin,POLAND,POL,53.116667,23.15,Europe,1906,Male,MEDICINE,SCIENCE & TECHNOLOGY,6.021705247,22.75665699,29342.28571
Manuel Pinto da Costa,São Tomé and Príncipe,STP,NA,NA,Africa,1937,Male,GOVERNMENT,INSTITUTIONS,10.03044927,20.1802133,5821.793103
Melvin Schwartz,UNITED STATES,USA,40.7127,-74.0059,North America,1932,Male,NATURAL SCIENCES,SCIENCE & TECHNOLOGY,16.74104467,22.95478311,6192.75
Modibo Keïta,MALI,MLI,12.65,-8,Africa,1915,Male,GOVERNMENT,INSTITUTIONS,7.948885751,21.52168633,8944.964286
Tiësto,NETHERLANDS,NLD,51.583333,4.783333,Europe,1969,Male,MUSIC,ARTS,8.151888925,21.52172656,241800.5455
Edward Cave,United Kingdom,GBR,51.5,-0.116667,Europe,1691,Male,BUSINESS,BUSINESS & LAW,12.00059151,21.93428916,3469.333333
Tracy Austin,United States,USA,33.758647,-118.345844,North America,1962,Female,INDIVIDUAL SPORTS,SPORTS,4.414595696,17.90571552,23921.53125
Michelle Williams,UNITED STATES,USA,48.197778,-114.316111,North America,1980,Female,FILM AND THEATRE,ARTS,4.43116084,14.03372032,31305.71053
Kevin Michael Richardson,UNITED STATES,USA,40.8373,-73.886,North America,1964,Male,FILM AND THEATRE,ARTS,1.528490061,17.15449578,63498.61765
Alfred Döblin,POLAND,POL,53.4325,14.548056,Europe,1878,Male,LANGUAGE,HUMANITIES,6.924383458,24.11818629,18983.97297
Elsa Morante,ITALY,ITA,41.9,12.5,Europe,1912,Female,LANGUAGE,HUMANITIES,4.036554866,22.52445372,28686.92857
Daniel C. Tsui,China,CHN,33.9,113.5,Asia,1939,Male,NATURAL SCIENCES,SCIENCE & TECHNOLOGY,12.15992393,22.5081422,9956.459459
William Hanna,UNITED STATES,USA,34.428056,-103.628056,North America,1910,Male,FILM AND THEATRE,ARTS,4.864171695,22.64571281,56274.93333
Stan Laurel,UNITED KINGDOM,GBR,54.193,-3.09,Europe,1890,Male,FILM AND THEATRE,ARTS,6.022518921,24.22738725,119604.7576
Benito Pérez Galdós,SPAIN,ESP,28.15,-15.416667,Europe,1843,Male,LANGUAGE,HUMANITIES,2.342617958,24.20184755,56796.80952
Asafa Powell,JAMAICA,JAM,17.995877,-76.955109,North America,1982,Male,INDIVIDUAL SPORTS,SPORTS,7.90738069,16.73379567,75995.60465
Pavel Tretyakov,Russia,RUS,55.75,37.616667,Europe,1832,Male,BUSINESS,BUSINESS & LAW,12.70644928,21.83341982,4767.769231
Johannes Andreas Grib Fibiger,DENMARK,DNK,56.183333,9.551667,Europe,1867,Male,MEDICINE,SCIENCE & TECHNOLOGY,18.84455469,23.08773644,5510.757576
Alan Ball,UNITED KINGDOM,GBR,53.5452,-2.3999,Europe,1945,Male,TEAM SPORTS,SPORTS,10.64922256,20.06633204,3728.076923
Armin van Buuren,NETHERLANDS,NLD,52.166667,4.483333,Europe,1976,Male,MUSIC,ARTS,7.202929934,19.88236857,168300.8605
Seann William Scott,UNITED STATES,USA,44.827778,-92.943889,North America,1976,Male,FILM AND THEATRE,ARTS,4.846221314,19.3609718,287517.2105
Georges de La Tour,France,FRA,48.7831,6.5322,Europe,1593,Male,FINE ARTS,ARTS,7.692875229,25.13503813,38316.7027
Magda Goebbels,GERMANY,DEU,52.516667,13.383333,Europe,1901,Female,COMPANIONS,PUBLIC FIGURE,7.607173772,24.56019376,92763.51724
Victor Grignard,France,FRA,49.63,-1.62,Europe,1871,Male,NATURAL SCIENCES,SCIENCE & TECHNOLOGY,21.46134635,24.68901225,8308.510638
Jared Padalecki,UNITED STATES,USA,29.416667,-98.5,North America,1982,Male,FILM AND THEATRE,ARTS,5.570175465,18.76918475,349159.1471
Thomas Sørensen,DENMARK,DNK,55.566667,9.75,Europe,1976,Male,TEAM SPORTS,SPORTS,6.686131249,16.8280741,25807.27586
Prince Moulay Rachid of Morocco,MOROCCO,MAR,34.020882,-6.84165,Africa,1970,Male,GOVERNMENT,INSTITUTIONS,13.38781565,17.32813135,5299.37931
Paolo Bettini,ITALY,ITA,43.316667,10.516667,Europe,1974,Male,TEAM SPORTS,SPORTS,9.149394167,17.58574626,23300.57692
